style,interval,target,t,x,y
2,1,3,12848637320,1064.6483612060547,520.6014382839203
2,1,3,12848653975,1066.7337036132812,524.3826448917389
2,1,3,12848670629,1061.947784423828,513.7256920337677
2,1,3,12848687284,1061.5582275390623,516.6149783134459
2,1,3,12848703939,1062.687530517578,525.8416271209717
2,1,3,12848720593,1059.0637588500977,529.0505254268646
2,1,3,12848737248,1061.1991119384766,535.2970898151399
2,1,3,12848753903,1061.9856643676758,547.3556685447693
2,1,3,12848770557,1060.3536224365234,553.8199746608734
2,1,3,12848787212,1065.74951171875,548.574378490448
2,1,3,12848803867,1070.396614074707,537.7693676948546
2,1,3,12848820521,1072.3772430419922,531.3565278053284
2,1,3,12848837176,1064.9524307250977,539.4567131996155
2,1,3,12848853831,1055.8962631225586,547.2998893260957
2,1,3,12848870485,1057.8418731689453,539.5865857601167
2,1,3,12848887140,1052.972183227539,536.5434157848358
2,1,3,12848903795,1040.6364822387698,545.5113172531128
2,1,3,12848920450,1046.5975952148438,550.1063597202301
2,1,3,12848937104,1057.2298431396484,548.0943167209625
2,1,3,12848953759,1060.010986328125,545.2973735332489
2,1,3,12848970414,1060.183334350586,540.3082716464996
2,1,3,12848987068,1057.7444839477541,541.0388731956482
2,1,3,12849003723,1060.9246826171877,552.5079560279846
2,1,3,12849020378,1056.0974502563477,554.8644912242888
2,1,3,12849037032,1056.5933227539062,552.4198615550995
2,1,3,12849053687,1049.4999313354492,715.7543849945067
2,1,3,12849070342,1045.8526992797854,790.5444359779358
