NODE_ID|NODE_NM|NODE_ENM|NODE_SNM|POSX|POSY|NODE_KIND|NODE_TYPE|SEQ|ADM_DSTRT_CD|USE_YN|ETL_TYPE|ETL_DATE
AP2505003140|신탄진고등학교| ||238965.12382189|327770.76703687|3701|3607|2098|30230126  |T|0602|2019-12-31 02:47:02
AP2505003138|선비마을3| ||239422.11398491|318676.99639717|3701|3607|2090|30230107  |T|0602|2019-12-31 02:47:02
AP2505003136|오정동사무소입구| ||236601.27704036|317130.84622682|3701|3607|2077|30230101  |T|0602|2019-12-31 02:47:02
AP2505003134|소월아파트| ||238830.14559335|318732.24822576|3701|3607|2070|30230108  |T|0602|2019-12-31 02:47:02
AP2505003132|신탄진| ||238373.25821349|327989.56058273|3701|3607|2058|30230126  |T|0602|2019-12-31 02:47:02
AP2505003130|한남오거리|Hannam 5(o)-geori||237270.94164075|316584.62265905|3701|3607|2051|30230101  |T|0602|2019-12-31 02:47:02
AP2505003128|용전동사무소| ||238748.58107019|317552.91096519|3701|3607|2044|30110115  |T|0602|2019-12-31 02:47:02
AP2505003126|석봉과선교| ||238536.36107188|327472.20506409|3701|3607|2033|30230126  |T|0602|2019-12-31 02:47:02
AP2505003124|소월아파트| ||238844.54638341|318754.78488070|3701|3607|2030|30230108  |T|0602|2019-12-31 02:47:02
AP2505003122|원촌교| ||236879.95030347|319626.45077435|3701|3607|2022|30230102  |T|0602|2019-12-31 02:47:02
AP2505003120|오정네거리| ||237186.00938619|317529.23948908|3701|3607|2014|30230101  |T|0602|2019-12-31 02:47:02
AP2505003118|영진아파트| ||238251.96610692|319352.97780706|3701|3607|2005|30230108  |T|0602|2019-12-31 02:47:02
AP2505003116|석봉정수장| ||240814.21968541|327717.46154602|3701|3607|1993|30110108  |T|0602|2019-12-31 02:47:02
AP2505003114|영진로얄아파트| ||237767.88907465|317973.83534962|3701|3607|1980|30230109  |T|0602|2019-12-31 02:47:02
AP2505003112|신로얄예식장| ||240055.84747692|317490.64031216|3701|3607|1955|30230110  |T|0602|2019-12-31 02:47:02
AP2505003110|삼정동/농기계보관창| ||241897.18978783|325683.43658793|3701|3607|1897|30230121  |T|0602|2019-12-31 02:47:02
AP2505003108|미호동| ||241823.04004215|329429.03747600|3701|3607|1859|30230125  |T|0602|2019-12-31 02:47:02
AP2505003106|미호동| ||241789.14324623|329370.77775993|3701|3607|1846|30230125  |T|0602|2019-12-31 02:47:02
AP2505003104|삼정동/소골마을| ||241767.30740293|326979.13720893|3701|3607|1824|30110108  |T|0602|2019-12-31 02:47:02
AP2505003102|부국레미콘| ||236463.35891228|318455.56804320|3701|3607|1802|30230102  |T|0602|2019-12-31 02:47:02
AP2505003100|새일초등학교| ||237521.60497951|325518.24151804|3701|3607|1788|30230116  |T|0602|2019-12-31 02:47:02
AP2505003098|한밭여객/들말| ||238058.69223335|323430.24207308|3701|3607|1764|30230106  |T|0602|2019-12-31 02:47:02
AP2505003096|선바위| ||237840.76889677|325272.32598878|3701|3607|1732|30230116  |T|0602|2019-12-31 02:47:02
AP2505003094|럭키스포츠프라자| ||237887.37879245|318368.23983056|3701|3607|1722|30230109  |T|0602|2019-12-31 02:47:02
AP2505003092|보조댐| ||240470.97829575|327631.92039436|3701|3607|1715|30230119  |T|0602|2019-12-31 02:47:02
AP2505003090|평촌동| ||238084.13891331|326148.46852458|3701|3607|1706|30170121  |T|0602|2019-12-31 02:47:02
AP2503001206| 백두빌라|||233929.85856449|311048.35841092|3701|3601|3459|30170101  |T|0602|2019-12-31 02:47:02
AP2503001204|AP2503001204|||231412.12564818|312254.62393047|3701|3601|3285|30170114  |T|0602|2019-12-31 02:47:02
AP2503001202| 대전광역시교육청|||234496.15502743|317254.78154228|3701|3601|3161|30170112  |T|0602|2019-12-31 02:47:02
AP2503001200|둔원초교앞|||233546.08884954|315847.48912689|||934|30170111  |T|0602|2019-12-31 02:47:02
AP2503001112|대전지방경찰청앞|||234496.21179800|317280.31178300|3701|3601|906|30170112  |T|0602|2019-12-31 02:47:02
AP2503001110|시청앞삼거리|City Hall 3(sam)-geori|시청앞3|234494.19840600|316800.14461500|3701|3601|905|30170112  |T|0602|2019-12-31 02:47:02
AP2503001003|AP2503001003|||228708.07663100|308340.01167000|3701|3601|895|30170126  |T|0602|2019-12-31 02:47:02
AP2503001001|원정동|||227241.04634300|306088.18117500|3701|3601|892|30170124  |T|0602|2019-12-31 02:47:02
AP2503000998|KBS방송국앞|||234233.14556000|318830.25732400|3701|3601|306|30170128  |T|0602|2019-12-31 02:47:02
AP2503000996|만년초교삼거리|Mannyeon Primary School 3(sam)-geori|만년초교3|233732.96520700|318566.30769600|3701|3601|315|30170128  |T|0602|2019-12-31 02:47:02
AP2503000994|대전문화예술의전당앞|||234233.32196700|318289.01384400|3701|3601|337|30170112  |T|0602|2019-12-31 02:47:02
AP2501003375|회남길입구| ||244376.76907616|316432.61511524|3701|3607|3043|30110128  |T|0602|2019-12-31 02:47:02
AP2501003373|한밭중학교| ||238236.43439633|315212.38110687|3701|3607|3033|30110118  |T|0602|2019-12-31 02:47:02
AP2501003371|효동네거리| ||239421.99948463|313052.07728981|3701|3607|3022|30110103  |T|0602|2019-12-31 02:47:02
AP2501003369|홍도동사무소| ||237971.58139184|316066.41752869|3701|3607|3016|30110117  |T|0602|2019-12-31 02:47:02
AP2501003367|판암동성당| ||241436.68442671|313337.66499419|3701|3607|3005|30110107  |T|0602|2019-12-31 02:47:02
AP2501003365|홍도육교| ||238044.23367740|315719.94843291|3701|3607|2997|30110118  |T|0602|2019-12-31 02:47:02
AP2501003363|효동네거리| ||239449.68349137|312956.55674955|3701|3607|2995|30110103  |T|0602|2019-12-31 02:47:02
AP2501003361|홍도육교| ||238486.93706863|316180.33182423|3701|3607|2990|30110117  |T|0602|2019-12-31 02:47:02
AP2501003359|홍명상가| ||238594.18505252|314475.91739795|3701|3607|2975|30110120  |T|0602|2019-12-31 02:47:02
AP2501003357|가오동| ||240327.38685866|312023.92899465|3701|3607|2958|30110105  |T|0602|2019-12-31 02:47:02
AP2501003355|효동네거리| ||239434.81740994|312912.21903004|3701|3607|2947|30110103  |T|0602|2019-12-31 02:47:02
AP2501003353|효평삼거리| ||242406.25566005|323263.46810238|3701|3607|2937|30110126  |T|0602|2019-12-31 02:47:02
AP2501003351|하소1통| ||239577.53125000|302215.65625000|3701|3607|2928|30110145  |T|0602|2019-12-31 02:47:02
AP2501003349|청소년수련원| ||239948.15625000|302957.53125000|3701|3607|2924|30110144  |T|0602|2019-12-31 02:47:02
AP2501003347|추동| ||242692.13656099|318260.22897600|3701|3607|2916|30110121  |T|0602|2019-12-31 02:47:02
AP2501003345|이백리/군북지서| ||247993.28303891|314502.81636643|3701|3607|2914|44710340  |T|0602|2019-12-31 02:47:02
AP2501003343|청소년수련원| ||239958.76562500|302955.15625000|3701|3607|2907|30110144  |T|0602|2019-12-31 02:47:02
AP2501003341|하소2통| ||239757.84375000|302627.50000000|3701|3607|2899|30110145  |T|0602|2019-12-31 02:47:02
AP2501003339|이현동| ||240992.40623002|323897.10429109|3701|3607|2894|30230120  |T|0602|2019-12-31 02:47:02
AP2501003337|천개동종점| ||241127.89362865|320533.76519659|3701|3607|2885|30110126  |T|0602|2019-12-31 02:47:02
AP2501003335|추동| ||241906.21250303|319305.54636572|3701|3607|2877|30110121  |T|0602|2019-12-31 02:47:02
AP2501003333|증약| ||246082.30981055|315272.83697866|3701|3607|2875|44710340  |T|0602|2019-12-31 02:47:02
AP2501003331|이현동| ||241826.34121139|323553.33128273|3701|3607|2860|30230120  |T|0602|2019-12-31 02:47:02
AP2501003329|가목정마을| ||239389.35937500|301216.28125000|3701|3607|2858|30110145  |T|0602|2019-12-31 02:47:02
AP2501003327|추동| ||242675.63487765|318269.47829840|3701|3607|2832|30110121  |T|0602|2019-12-31 02:47:02
AP2501003325|자양동사무소| ||240077.56250000|315118.68750000|3701|3607|2824|30110111  |T|0602|2019-12-31 02:47:02
AP2501003323|이사동| ||239735.29039645|309094.94460209|3701|3607|2818|30110138  |T|0602|2019-12-31 02:47:02
AP2501003321|평양순두부집| ||240958.32812500|311292.75000000|3701|3607|2808|30110139  |T|0602|2019-12-31 02:47:02
AP2501003319|주촌동| ||247643.61319161|321915.31178785|3701|3607|2804|30110135  |T|0602|2019-12-31 02:47:02
AP2501003317|판암2동| ||240288.57481643|313277.66175140|3701|3607|2801|30110107  |T|0602|2019-12-31 02:47:02
AP2501003315|이사동| ||240026.10618030|309562.78722321|3701|3607|2788|30110138  |T|0602|2019-12-31 02:47:02
