﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
57160500201,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,35,37,38,42,49,51,42.57,9.25,70
57160500202,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,8,10,10,17,44,52,26.66,19.64,70
57160500202,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,12,16,18,32,49,53,32.72,17.45,73
57160501301,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,32,36,37,40,46,53,41.79,10.51,81
57160501301,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,32,35,36,39,43,45,39.24,7.53,70
57160501302,202110,평일,7,특별광역시도,서울특별시,강남구,역삼2동,3,3,3,15,24,29,17.15,16.15,70
57160501302,202110,평일,8,특별광역시도,서울특별시,강남구,역삼2동,3,3,9,20,43,50,25.16,20.48,78
57160501901,202110,평일,7,특별광역시도,서울특별시,강남구,일원본동,33,43,43,52,60,62,49.87,13.43,76
57160501901,202110,평일,8,특별광역시도,서울특별시,강남구,일원본동,34,36,43,47,58,63,46.95,14.71,77
57160501902,202110,평일,7,특별광역시도,서울특별시,강남구,일원본동,22,24,26,41,50,52,38.5,13.97,60
57160501902,202110,평일,8,특별광역시도,서울특별시,강남구,일원본동,20,21,23,39,51,55,37.09,15.73,62
57160502901,202110,평일,7,특별광역시도,서울특별시,강남구,도곡1동,31,33,35,37,42,44,38.06,7.14,61
57160502901,202110,평일,8,특별광역시도,서울특별시,강남구,도곡1동,30,32,33,37,42,46,37.47,7.52,56
57160502902,202110,평일,7,특별광역시도,서울특별시,강남구,도곡1동,5,9,20,41,48,52,32.64,19.91,63
57160502902,202110,평일,8,특별광역시도,서울특별시,강남구,도곡1동,2,5,8,28,41,46,26.08,18.4,63
57160505501,202110,평일,7,특별광역시도,서울특별시,강남구,역삼1동,34,40,41,48,56,62,47.89,14.51,103
57160505501,202110,평일,8,특별광역시도,서울특별시,강남구,역삼1동,40,43,45,50,56,59,49.83,13.28,124
57160505502,202110,평일,7,특별광역시도,서울특별시,강남구,역삼1동,11,41,42,48,54,57,43.19,16.97,69
57160505502,202110,평일,8,특별광역시도,서울특별시,강남구,역삼1동,36,41,43,48,54,58,45.18,14.95,76
57160505901,202110,평일,7,특별광역시도,서울특별시,강남구,일원본동,43,43,43,48,53,56,48.29,6.99,60
57160505901,202110,평일,8,특별광역시도,서울특별시,강남구,일원본동,30,35,38,41,47,53,42.19,11.92,76
57160505902,202110,평일,7,특별광역시도,서울특별시,강남구,일원본동,5,11,17,35,48,52,32.47,20.43,68
57160505902,202110,평일,8,특별광역시도,서울특별시,강남구,일원본동,5,9,12,40,50,64,33.61,23.56,82
57160506101,202110,평일,7,특별광역시도,서울특별시,강남구,일원본동,12,14,16,38,52,56,34.97,19.07,65
57160506101,202110,평일,8,특별광역시도,서울특별시,강남구,일원본동,9,16,24,42,52,59,37.35,20.04,70
57160506102,202110,평일,7,특별광역시도,서울특별시,강남구,일원본동,23,34,44,47,60,62,46.67,16.94,78
57160506102,202110,평일,8,특별광역시도,서울특별시,강남구,일원본동,36,39,40,48,57,59,47.57,11.84,72
57160506901,202110,평일,7,특별광역시도,서울특별시,강남구,개포2동,37,38,39,42,46,48,42.38,9.17,76
57160506901,202110,평일,8,특별광역시도,서울특별시,강남구,개포2동,36,38,39,42,47,51,43.15,9.19,81
57160506902,202110,평일,7,특별광역시도,서울특별시,강남구,개포2동,5,5,5,6,7,9,8.24,7.82,50
57160506902,202110,평일,8,특별광역시도,서울특별시,강남구,개포2동,5,5,5,6,31,35,15.27,13.95,46
57160509201,202110,평일,7,특별광역시도,서울특별시,강남구,도곡1동,37,40,41,45,48,51,44.1,7.7,64
57160509201,202110,평일,8,특별광역시도,서울특별시,강남구,도곡1동,38,41,42,45,49,51,43.37,8.71,59
57160509801,202110,평일,7,특별광역시도,서울특별시,강남구,도곡2동,20,21,21,26,33,36,27.61,9.27,67
57160509801,202110,평일,8,특별광역시도,서울특별시,강남구,도곡2동,18,20,21,31,44,47,32.31,13.33,63
57160510501,202110,평일,7,특별광역시도,서울특별시,강남구,대치1동,17,18,18,22,31,38,26.26,12.69,77
57160510501,202110,평일,8,특별광역시도,서울특별시,강남구,대치1동,16,19,20,25,36,44,27.8,13.53,73
57160511701,202110,평일,7,특별광역시도,서울특별시,강남구,대치4동,8,16,18,42,49,52,34.44,18.17,65
57160511701,202110,평일,8,특별광역시도,서울특별시,강남구,대치4동,5,6,6,12,25,39,17.72,15.09,58
