unixtime,latitude,longitude,speed
1202505802361,37.5997075661,-122.0643737888,13.133
1202505805367,37.5997141040,-122.0642081625,11.221
1202505809358,37.5997244137,-122.0640226711,8.925
1202505813356,37.5997326280,-122.0638975293,6.397
1202505816357,37.5997324604,-122.0638747305,4.089
1202505819357,37.5997327956,-122.0638699528,2.570
1202505822366,37.5997336338,-122.0638484114,1.811
1202505826356,37.5997363160,-122.0638117825,1.320
1202505829356,37.5997353102,-122.0638041549,0.821
1202505833397,37.5997337177,-122.0637970303,0.651
1202505837362,37.5997329633,-122.0637933423,0.525
1202505840365,37.5997332147,-122.0637927555,0.501
1202505844365,37.5997319575,-122.0637842060,0.638
1202505847366,37.5997327956,-122.0637676937,0.786
1202505851355,37.5997332147,-122.0637472418,0.848
1202505854363,37.5997370704,-122.0637191625,0.957
1202505858352,37.5997397526,-122.0637125408,0.630
1202505861361,37.5997400879,-122.0637107806,0.522
1202505865359,37.5997374057,-122.0637012252,0.611
1202505869351,37.5997372381,-122.0636992974,0.748
1202505872359,37.5997376571,-122.0636944359,1.021
1202505875361,37.5997382439,-122.0636644286,1.507
1202505879351,37.5997416805,-122.0635902488,2.047
1202505882353,37.5997457038,-122.0635464115,1.837
1202505885354,37.5997482183,-122.0635442322,1.582
1202505888364,37.5997502300,-122.0635428073,1.738
1202505892363,37.5997510682,-122.0635407956,2.227
1202505896361,37.5997551753,-122.0635061784,3.295
1202505900354,37.5997780579,-122.0633443239,4.912
1202505904350,37.5998396649,-122.0632539670,4.904
1202505907357,37.5999470370,-122.0632851477,5.266
1202505911362,37.6000411657,-122.0632995645,3.937
1202505915351,37.6000434289,-122.0632968823,2.395
1202505918352,37.6000450214,-122.0632962118,1.422
1202505922351,37.6000468654,-122.0632964632,0.764
1202505925357,37.6000475360,-122.0632963794,0.350
1202505929351,37.6000482065,-122.0632962956,0.239
1202505933349,37.6000482904,-122.0632961280,0.276
1202505936351,37.6000435965,-122.0632847286,0.453
1202505939359,37.6000373101,-122.0632696412,0.640
1202505942362,37.6000258269,-122.0632772687,0.491
1202505945372,37.6000272518,-122.0632755923,0.385
1202505949357,37.6000210492,-122.0632745865,0.436
1202505952365,37.6000237314,-122.0632740836,0.287
1202505955388,37.6000266651,-122.0632760952,0.380
1202505959358,37.6000333706,-122.0632795318,0.576
1202505962371,37.6000342088,-122.0632791127,0.750
1202505966358,37.6000132540,-122.0632833037,1.074
1202505970347,37.5999769604,-122.0632926076,1.611
1202505973354,37.5999388227,-122.0633076950,1.677
1202505977349,37.5999389904,-122.0633110477,1.119
1202505981347,37.5999291836,-122.0633126403,0.894
1202505984355,37.5999117492,-122.0633269734,0.958
1202505988341,37.5999244059,-122.0633271410,0.691
1202505991349,37.5999214722,-122.0633309128,0.578
1202505995345,37.5999467017,-122.0633303261,0.817
1202505998345,37.5999568438,-122.0633370316,0.846
1202506002353,37.5999267528,-122.0633340980,1.063
1202506006351,37.5999117492,-122.0633288174,0.963
1202506010347,37.5999165269,-122.0632900092,0.996
1202506013352,37.5999233162,-122.0632847286,0.820
1202506017369,37.5999153534,-122.0632744188,0.806
1202506021345,37.5999057981,-122.0632788612,0.657
1202506024345,37.5999048761,-122.0632841418,0.682
1202506027345,37.5999218075,-122.0632784422,0.770
1202506030347,37.5999385713,-122.0632723234,0.876
1202506034345,37.5999456959,-122.0632852315,0.730
1202506038348,37.5999548322,-122.0632853991,0.570
1202506041352,37.5999584364,-122.0632867402,0.436
1202506045354,37.5999609510,-122.0632872431,0.290
1202506049344,37.5999617053,-122.0632860697,0.184
1202506053343,37.5999632979,-122.0632855668,0.143
1202506056344,37.5999647228,-122.0632854829,0.271
1202506059347,37.5999666507,-122.0632854829,0.669
1202506063347,37.5999684109,-122.0632857344,1.289
1202506067346,37.5999696681,-122.0632859020,2.043
1202506071347,37.6000282576,-122.0632884166,3.615
1202506075339,37.6001612784,-122.0632942001,4.871
1202506078348,37.6002456841,-122.0633004866,5.042
1202506081356,37.6002901082,-122.0633056833,4.817
1202506085346,37.6003269885,-122.0633072759,5.177
1202506088357,37.6003823929,-122.0633130594,6.773
1202506092353,37.6004690617,-122.0633382051,8.464
1202506096354,37.6005025893,-122.0635582300,11.471
1202506100350,37.6004870828,-122.0640034765,15.230
1202506104346,37.6004446704,-122.0644823345,16.672
1202506107346,37.6003999949,-122.0647666485,15.421
1202506110351,37.6002320216,-122.0648854200,13.176
1202506113351,37.6001277508,-122.0649208755,9.795
1202506117336,37.6000979950,-122.0649217975,5.795
1202506120336,37.6001017669,-122.0649231386,3.191
1202506123345,37.6000951452,-122.0649218813,1.724
1202506127341,37.6000883558,-122.0649159301,0.976
1202506130341,37.6000892779,-122.0649155110,0.720
1202506133345,37.6000929659,-122.0649177742,1.177
1202506136346,37.6000858413,-122.0649183609,1.910
1202506140346,37.6000520622,-122.0649256531,3.450
1202506143350,37.5999825763,-122.0649437580,5.821
1202506147346,37.5998656488,-122.0649917863,8.566
1202506150350,37.5998394134,-122.0651121504,11.202
1202506154351,37.5998024492,-122.0654536290,15.729
1202506158337,37.5997259225,-122.0658838719,19.000
1202506161349,37.5995400958,-122.0662031385,20.785
1202506165359,37.5991955159,-122.0664961697,20.696
1202506169337,37.5988284725,-122.0666113371,18.859
1202506172348,37.5986523687,-122.0666783084,15.008
1202506176343,37.5985618442,-122.0666995146,9.909
1202506179343,37.5985377882,-122.0666999337,6.407
1202506183339,37.5985209405,-122.0667556734,4.268
1202506187344,37.5985177554,-122.0667686653,2.628
1202506190345,37.5985154923,-122.0667756223,1.911
1202506194333,37.5984976389,-122.0667695873,2.083
1202506197339,37.5983517100,-122.0666292743,3.193
1202506200344,37.5983668812,-122.0666419310,1.762
1202506203344,37.5983770233,-122.0666495585,1.654
1202506207341,37.5984025881,-122.0666670767,1.767
1202506210343,37.5984077849,-122.0666554258,1.578
1202506213344,37.5984097965,-122.0666239937,1.701
1202506217344,37.5984337688,-122.0666394164,1.487
1202506221335,37.5984809589,-122.0666768835,1.654
1202506224342,37.5985099603,-122.0667059687,1.659
1202506227342,37.5985137321,-122.0667011910,1.400
1202506230343,37.5984991476,-122.0666944855,1.063
1202506234343,37.5985086192,-122.0667010234,0.921
1202506238339,37.5984921068,-122.0666809906,0.845
1202506241343,37.5984884188,-122.0666778893,1.024
1202506245337,37.5984799531,-122.0666732793,1.066
1202506249343,37.5984984771,-122.0666820803,2.030
1202506253340,37.5985163305,-122.0666833376,2.950
1202506257339,37.5984978065,-122.0666706809,4.418
1202506261333,37.5984465931,-122.0666904622,7.290
1202506265333,37.5982368780,-122.0666719382,11.669
1202506268343,37.5981091378,-122.0664976785,15.021
1202506271343,37.5981121553,-122.0661746401,19.360
1202506274345,37.5981447609,-122.0657904138,23.382
1202506278342,37.5981894364,-122.0651637829,27.177
1202506282340,37.5982300048,-122.0645237410,29.076
1202506285347,37.5982423262,-122.0640372556,30.738
1202506289329,37.5982129057,-122.0633786059,32.205
1202506292335,37.5981871733,-122.0628403202,33.947
1202506296333,37.5981492033,-122.0621839337,34.811
1202506300337,37.5980122430,-122.0615726417,36.703
1202506303342,37.5977210558,-122.0610578254,39.379
1202506307344,37.5972593808,-122.0604457790,42.068
1202506311331,37.5966128848,-122.0598560286,45.165
1202506315331,37.5960364616,-122.0593933477,47.134
1202506318337,37.5955002714,-122.0590053495,50.985
1202506322327,37.5947300586,-122.0584168563,54.877
1202506325343,37.5941108877,-122.0579467156,58.214
1202506329344,37.5932457918,-122.0573176540,61.201
1202506333340,37.5923342602,-122.0566511253,63.996
1202506337329,37.5913942301,-122.0559742869,66.079
1202506340329,37.5906737219,-122.0554481550,67.542
1202506343329,37.5899621825,-122.0549374458,68.204
1202506347328,37.5889955817,-122.0542415805,68.890
1202506350329,37.5882701283,-122.0537120120,69.138
1202506353337,37.5875376341,-122.0531817731,69.130
1202506357335,37.5865632382,-122.0524680543,68.741
1202506361335,37.5855984815,-122.0517802356,67.687
1202506364335,37.5848902948,-122.0512803390,65.953
1202506368337,37.5839680343,-122.0506909238,63.136
1202506372335,37.5830486237,-122.0501777001,59.720
1202506376333,37.5821392714,-122.0498287616,54.999
1202506380323,37.5813564019,-122.0496004386,47.560
1202506383334,37.5808099020,-122.0496540828,40.559
1202506387333,37.5803468859,-122.0499425878,31.391
1202506391333,37.5800252724,-122.0502056118,23.104
1202506395330,37.5799530204,-122.0502658777,14.518
1202506399324,37.5799436327,-122.0502721641,10.645
1202506403324,37.5799340773,-122.0502818033,9.914
1202506407316,37.5797620807,-122.0503552287,13.745
1202506410320,37.5795746614,-122.0501736768,18.255
1202506413332,37.5793867392,-122.0498246545,23.681
1202506417329,37.5791101365,-122.0492560264,27.648
1202506420333,37.5789029360,-122.0487720555,29.053
1202506424332,37.5785772991,-122.0480807163,28.009
1202506428326,37.5783462102,-122.0476086477,22.329
1202506431330,37.5782908058,-122.0474788959,15.132
1202506435319,37.5782935718,-122.0474745373,8.754
1202506438319,37.5782908896,-122.0474752079,5.293
1202506442318,37.5782904705,-122.0474752917,3.802
1202506445328,37.5782902191,-122.0474758784,4.758
1202506448330,37.5782678394,-122.0474405068,8.811
1202506452330,37.5782718627,-122.0471505769,15.958
1202506456322,37.5786078093,-122.0470728767,23.908
1202506459328,37.5790062848,-122.0473009482,33.744
1202506463323,37.5797014796,-122.0478234758,44.081
1202506466325,37.5803249253,-122.0482427385,51.892
1202506470322,37.5812028455,-122.0487819461,57.630
1202506473331,37.5819260358,-122.0491349917,61.951
1202506476331,37.5826866933,-122.0495222355,65.044
1202506480330,37.5836775177,-122.0500689868,66.322
1202506484329,37.5846682582,-122.0506954501,67.185
1202506488326,37.5856305842,-122.0513669241,66.920
1202506492320,37.5865742185,-122.0520245679,65.929
1202506496321,37.5874963113,-122.0527034180,64.573
1202506500320,37.5883665201,-122.0533247683,62.510
1202506504311,37.5891567657,-122.0538998504,60.784
1202506507318,37.5897746794,-122.0543400678,60.600
1202506510321,37.5904086024,-122.0547900920,60.903
1202506514320,37.5912709323,-122.0554039824,61.607
1202506518321,37.5921579888,-122.0560341336,62.478
1202506522318,37.5930782376,-122.0566908555,63.157
1202506525320,37.5937540702,-122.0571747426,62.942
1202506529314,37.5946208425,-122.0577923210,62.052
1202506533308,37.5954752095,-122.0583926326,61.359
1202506536315,37.5961020918,-122.0588331853,60.647
1202506540321,37.5969632482,-122.0594474109,60.843
1202506544308,37.5977636359,-122.0600238342,60.536
1202506547315,37.5983805437,-122.0604879400,61.735
1202506550318,37.5990247766,-122.0609937039,63.671
1202506554314,37.5999933889,-122.0616899883,66.066
1202506557317,37.6007236200,-122.0622123483,67.076
1202506561315,37.6016926515,-122.0628885162,67.600
1202506565315,37.6026512056,-122.0635592358,67.329
1202506568315,37.6033583865,-122.0640567854,66.392
1202506571315,37.6040472949,-122.0645466236,64.917
1202506575304,37.6049395481,-122.0651859950,63.262
1202506578315,37.6055700346,-122.0656455745,61.357
1202506582314,37.6063686621,-122.0662224169,59.872
1202506585321,37.6069867434,-122.0666625505,59.659
1202506589310,37.6078155456,-122.0672669693,59.857
1202506593318,37.6086613632,-122.0678603240,60.253
1202506597314,37.6095160655,-122.0684596298,60.927
1202506600315,37.6101879586,-122.0689265016,61.624
1202506604316,37.6110735063,-122.0695628555,61.601
1202506608309,37.6119468165,-122.0701864689,61.098
1202506612303,37.6127777143,-122.0707731180,60.191
1202506615306,37.6133931134,-122.0712140898,59.662
1202506618310,37.6140062493,-122.0716548101,59.075
1202506622296,37.6148322018,-122.0722438900,58.571
1202506625296,37.6154442481,-122.0726921540,57.619
1202506628302,37.6160506786,-122.0731380711,56.265
1202506632298,37.6168494736,-122.0737103034,54.300
1202506635308,37.6173899385,-122.0740721501,51.532
1202506639305,37.6180300643,-122.0745546960,48.951
1202506642305,37.6184917393,-122.0748825960,47.522
1202506645305,37.6189696752,-122.0752186263,46.547
1202506648307,37.6194841563,-122.0755852506,45.723
1202506652304,37.6201908343,-122.0760905954,44.302
1202506656304,37.6208316305,-122.0765521866,40.957
1202506659306,37.6211633861,-122.0767815992,36.356
1202506663297,37.6215299266,-122.0770346488,32.850
1202506667305,37.6218679686,-122.0772787297,31.294
1202506671294,37.6223158974,-122.0775917937,32.523
1202506674296,37.6227079188,-122.0778684802,33.655
1202506677304,37.6230778959,-122.0781335159,33.906
1202506680304,37.6234654749,-122.0784133037,33.966
1202506684305,37.6239885055,-122.0787931714,32.945
1202506688301,37.6244267951,-122.0791034694,30.219
1202506692293,37.6247629931,-122.0793413477,27.079
1202506696296,37.6250540126,-122.0795509790,25.268
1202506699305,37.6252978421,-122.0797233109,24.735
1202506703291,37.6256485408,-122.0799716666,24.888
1202506706295,37.6259397280,-122.0801807950,25.500
1202506709299,37.6262221980,-122.0803796974,25.867
1202506712299,37.6264526165,-122.0805438989,25.868
1202506716291,37.6267900718,-122.0807833698,26.987
1202506719304,37.6271152895,-122.0810120280,28.292
1202506723292,37.6275745338,-122.0813554344,29.137
1202506726296,37.6279074628,-122.0815931451,28.829
1202506729301,37.6281814672,-122.0817886110,27.609
1202506733303,37.6285138933,-122.0820228013,26.642
1202506737303,37.6288598981,-122.0822668822,26.147
1202506741300,37.6292171347,-122.0825182554,25.337
