Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,AirportCode,County
Rain,Light,2017-01-08 9:06,2017-01-08 10:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-08 10:56,2017-01-08 11:22,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-08 11:22,2017-01-08 11:45,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-08 13:56,2017-01-08 14:33,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-08 14:33,2017-01-08 15:10,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-08 15:43,2017-01-08 18:32,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Storm,Severe,2017-01-08 18:32,2017-01-08 19:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-08 19:56,2017-01-08 20:58,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Storm,Severe,2017-01-08 20:58,2017-01-08 21:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-08 21:56,2017-01-08 23:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-08 23:56,2017-01-09 0:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-09 0:56,2017-01-09 1:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-09 2:56,2017-01-09 3:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-09 7:56,2017-01-09 8:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-10 0:56,2017-01-10 2:20,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-10 3:56,2017-01-10 20:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-10 20:56,2017-01-10 21:18,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-10 21:18,2017-01-10 21:39,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-10 21:39,2017-01-10 23:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-10 23:56,2017-01-11 0:30,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-11 0:56,2017-01-11 1:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-11 1:56,2017-01-11 2:35,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-11 2:35,2017-01-11 2:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-11 2:56,2017-01-11 3:08,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-11 3:08,2017-01-11 3:28,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-11 3:28,2017-01-11 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-11 12:56,2017-01-11 13:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-11 16:56,2017-01-11 17:26,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-12 8:56,2017-01-12 11:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-12 12:56,2017-01-12 13:31,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-13 0:52,2017-01-13 2:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2017-01-15 18:49,2017-01-15 19:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Fog,Moderate,2017-01-16 16:56,2017-01-16 20:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-18 12:56,2017-01-18 13:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-18 16:56,2017-01-18 20:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-18 20:56,2017-01-18 21:48,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-18 21:48,2017-01-19 2:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-19 2:56,2017-01-19 3:27,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Storm,Severe,2017-01-19 3:27,2017-01-19 3:47,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-19 3:47,2017-01-19 4:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-19 12:56,2017-01-19 13:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-19 14:56,2017-01-19 15:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-19 16:39,2017-01-19 17:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-20 5:56,2017-01-20 9:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-20 9:56,2017-01-20 10:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-20 10:56,2017-01-20 11:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-20 11:56,2017-01-20 12:12,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Storm,Severe,2017-01-20 12:12,2017-01-20 12:17,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Moderate,2017-01-20 12:17,2017-01-20 12:29,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Heavy,2017-01-20 12:29,2017-01-20 12:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Precipitation,UNK,2017-01-20 12:56,2017-01-20 13:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-20 14:56,2017-01-20 15:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-20 16:56,2017-01-20 18:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-20 20:56,2017-01-20 22:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-21 0:39,2017-01-21 1:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
Rain,Light,2017-01-21 3:31,2017-01-21 3:56,US/Pacific,37.6196,-122.3656,KSFO,San Mateo
